Query,Output
"Extract actionable tasks from customer feedback ""FeedbackText"" and assign them to the current sprint if the user ""USER-789"" is the owner. Otherwise, assign them to sprint id ""SPRINT-999"".","var_1 = who_am_i()
if(var_1==""USER-789""):
    temp_1 = create_actionable_tasks_from_text(text=""FeedbackText"")
    temp_2 = get_sprint_id()
    temp_3 = add_work_items_to_sprint(work_ids=temp_1, sprint_id=temp_2)
else:
    temp_1 = create_actionable_tasks_from_text(text=""FeedbackText"")
    temp_2 = add_work_items_to_sprint(work_ids=temp_1, sprint_id=""SPRINT-999"")"
"Retrieve all work items with type ""task"" that need a response, summarize them, and then add the top 10 to sprint id ""SPRINT-321"".","var_1 = works_list(type=[""task""], ticket.needs_response=True)
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
var_4 = add_work_items_to_sprint(work_ids=var_3[0:10], sprint_id=""SPRINT-321"")"
"Find work items owned by ""USER-ABC"" with priority ""p1"", prioritize them, and assign the top 3 to the current sprint.","var_1 = search_object_by_name(query=""USER-ABC"")
var_2 = works_list(owned_by=[var_1], issue.priority=[""p1""], type=[""issue""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3[0:3], sprint_id=var_4)"
"Find all tickets created by ""USER-789"" with severity ""high"", prioritize them, and assign the top 5 to the current sprint.","var_1 = search_object_by_name(query=""USER-789"")
var_2 = works_list(created_by=[var_1], ticket.severity=[""high""], type=[""ticket""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3[0:5], sprint_id=var_4)"
"Summarize all issues with priority ""p0"" and add them to sprint id ""SPRINT-ABC"" if the current user is a member of team ""TeamX"".","var_1 = who_am_i()
var_2 = find_team_members(team_id=""TeamX"")
if(var_1 in var_2):
    temp_1 = works_list(issue.priority=[""p0""], type=[""issue""])
    temp_2 = summarize_objects(objects=temp_1)
    temp_3 = add_work_items_to_sprint(work_ids=temp_1, sprint_id=""SPRINT-ABC"")"
"For team ""TeamOmega"", get the member IDs, find all work items with type ""issue"" for these members, summarize the items, and assign the top 2 to sprint id ""SPRINT-XYZ"".","var_1 = find_team_members(team_id=""TeamOmega"")
for loop_var in var_1:
    temp_1 = works_list(owned_by=[loop_var], type=[""issue""])
    temp_2 = summarize_objects(objects=temp_1)
var_3 = prioritize_objects(objects=temp_1)
var_4 = add_work_items_to_sprint(work_ids=var_3[0:2], sprint_id=""SPRINT-XYZ"")"
"Generate a report for all tasks associated with ""OBJECT-789"", include a summary, and assign any new tasks found in the report to ""USER-654"".","var_1 = search_object_by_name(query=""OBJECT-789"")
var_2 = generate_report(report_type=""tasks"", subject_id=var_1)
var_3 = create_actionable_tasks_from_text(text=var_2)
for loop_var in var_3:
    temp_1 = assign_task_to_user(task_id=loop_var, user_id=""USER-654"")"
"Search for work items related to the source channel ""Email"", prioritize them, and add the top 3 to the current sprint.","var_1 = works_list(ticket.source_channel=[""Email""], type=[""ticket""])
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2[0:3], sprint_id=var_3)"
"Extract actionable tasks from the text ""UserManual"", create a summary for them, and assign them to the sprint id found by searching ""NextRelease"".","var_1 = create_actionable_tasks_from_text(text=""UserManual"")
var_2 = summarize_objects(objects=var_1)
var_3 = search_object_by_name(query=""NextRelease"")
var_4 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_3)"
"Identify work items with severity ""blocker"" for part ""PART-111"", summarize them, and assign the most critical one to each user in team ""TeamBeta"".","var_1 = find_team_members(team_id=""TeamBeta"")
for loop_var in var_1:
    temp_1 = search_object_by_name(query=""PART-111"")
    temp_2 = works_list(applies_to_part=[temp_1], ticket.severity=[""blocker""], type=[""issue""])
    temp_3 = summarize_objects(objects=temp_2)
    temp_4 = prioritize_objects(objects=temp_2)
    temp_5 = assign_task_to_user(task_id=temp_4[0], user_id=loop_var)"
"Retrieve tasks for ""USER-999"" that are not completed, prioritize them, and mark the top 3 as completed.","for loop_var in range(0,3):
    temp_1 = fetch_user_tasks(user_id=""USER-999"", include_completed=False)
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = mark_task_as_completed(task_id=temp_2[loop_var])"
"Find work items created by ""USER-222"" with type ""ticket"", prioritize them, and assign the top 4 to ""USER-333"".","for loop_var in range(0,4):
    temp_1 = search_object_by_name(query=""USER-222"")
    temp_2 = works_list(created_by=[temp_1], type=[""ticket""])
    temp_3 = prioritize_objects(objects=temp_2)
    temp_4 = assign_task_to_user(task_id=temp_3[loop_var], user_id=""USER-333"")"
"Extract tasks from the text ""InstallationGuide"", prioritize them, and assign the first 8 to the current sprint.","var_1 = create_actionable_tasks_from_text(text=""InstallationGuide"")
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
for loop_var in range(0,8):
    temp_1 = add_work_items_to_sprint(work_ids=[var_2[loop_var]], sprint_id=var_3)"
"Find all tasks for ""USER-888"" with priority ""p3"", summarize them, and assign the most urgent one to the current sprint.","var_1 = search_object_by_name(query=""USER-888"")
var_2 = works_list(owned_by=[var_1], issue.priority=[""p3""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
var_4 = prioritize_objects(objects=var_2)
var_5 = get_sprint_id()
var_6 = add_work_items_to_sprint(work_ids=[var_4[0]], sprint_id=var_5)"
"Retrieve work items for part ""PART-444"" created by ""USER-555"", prioritize them based on severity, and add the top 2 to sprint id ""SPRINT-666"".","var_1 = search_object_by_name(query=""PART-444"")
var_2 = search_object_by_name(query=""USER-555"")
var_3 = works_list(applies_to_part=[var_1], created_by=[var_2], type=[""issue""])
var_4 = prioritize_objects(objects=var_3)
var_5 = add_work_items_to_sprint(work_ids=var_4[0:2], sprint_id=""SPRINT-666"")"
"Create tasks from the text ""UpdateText"" and if the current user is ""USER-XYZ"", add them to the sprint with ID ""SPRINT-ABC"". If not, assign them to ""SPRINT-DEF"".","var_1 = who_am_i()
var_2 = create_actionable_tasks_from_text(text=""UpdateText"")
if(var_1==""USER-XYZ""):
    temp_1 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""SPRINT-ABC"")
else:
    temp_1 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""SPRINT-DEF"")"
"Retrieve work items with type ""issue"" that are created by ""DevTeamA"", summarize them, and then assign the first 10 to sprint ""SPRINT-001"" and the next 10 to sprint ""SPRINT-002"".","var_1 = works_list(created_by=[""DevTeamA""], type=[""issue""])
var_2 = summarize_objects(objects=var_1)
var_3 = add_work_items_to_sprint(work_ids=var_1[0:10], sprint_id=""SPRINT-001"")
var_4 = add_work_items_to_sprint(work_ids=var_1[10:20], sprint_id=""SPRINT-002"")"
"Summarize the tasks created from the text ""ReleaseNotes"" and assign all the tasks to ""JuniorDev"".","var_1 = create_actionable_tasks_from_text(text=""ReleaseNotes"")
var_2 = summarize_objects(objects=var_1)
for loop_var in var_1:
    temp_1 = create_actionable_tasks_from_text(text=""ReleaseNotes"")
    temp_2 = assign_task_to_user(task_id=temp_1[loop_var], user_id=""JuniorDev"")"
"Find work items owned by ""Manager123"" with priority ""p1"", add them to the sprint with ID ""SPRINT-789"" if the current sprint ID is ""SPRINT-789"", otherwise do not add them to any sprint.","var_1 = get_sprint_id()
if(var_1==""SPRINT-789""):
    temp_1 = works_list(owned_by=[""Manager123""], issue.priority=[""p1""], type=[""issue""])
    temp_2 = add_work_items_to_sprint(work_ids=temp_1, sprint_id=""SPRINT-789"")"
"Extract tasks from the text ""ClientFeedback"", prioritize them, and assign the top 3 tasks to the user with ID ""LeadDev123"".","var_1 = create_actionable_tasks_from_text(text=""ClientFeedback"")
var_2 = prioritize_objects(objects=var_1)
var_3 = assign_task_to_user(task_id=var_2[0], user_id=""LeadDev123"")
var_4 = assign_task_to_user(task_id=var_2[1], user_id=""LeadDev123"")
var_5 = assign_task_to_user(task_id=var_2[2], user_id=""LeadDev123"")"
"Summarize and prioritize all tickets with severity ""high"" and source channel ""email"", then mark the top 5 as completed.","for loop_var in range(0,5):
    temp_1 = works_list(ticket.severity=[""high""], ticket.source_channel=[""email""], type=[""ticket""])
    temp_2 = summarize_objects(objects=temp_1)
    temp_3 = prioritize_objects(objects=temp_1)
    temp_4 = mark_task_as_completed(task_id=temp_3[loop_var])"
"Search for the object with the name ""CriticalBugReport"", estimate the work hours needed, and if it is more than 5 hours, assign it to user ""SeniorDev"".","var_1 = search_object_by_name(query=""CriticalBugReport"")
var_2 = estimate_work_hours(work_id=var_1)
if(var_2 > 5):
    temp_1 = assign_task_to_user(task_id=var_1, user_id=""SeniorDev"")"
"Combine the tasks from users ""UserA"" and ""UserB"", summarize the combined list, and generate a report with the summary.","var_1 = fetch_user_tasks(user_id=""UserA"")
var_2 = fetch_user_tasks(user_id=""UserB"")
var_3 = summarize_objects(objects=var_1+var_2)
var_4 = generate_report(report_type=""summary"", subject_id=var_3)"
"Find work items similar to ""WORK-123"", summarize the findings, and add the summarized text to the sprint report.","var_1 = get_similar_work_items(work_id=""WORK-123"")
var_2 = summarize_objects(objects=var_1)
var_3 = generate_report(report_type=""sprint"", subject_id=var_2)"
"For team ""AlphaTeam"", get the member IDs, find all tasks assigned to these members, prioritize them, and assign the top 2 tasks to the current sprint.","var_1 = find_team_members(team_id=""AlphaTeam"")
for loop_var in var_1:
    temp_1 = fetch_user_tasks(user_id=loop_var)
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = get_sprint_id()
    temp_4 = assign_task_to_user(task_id=temp_2[0], user_id=loop_var)
    temp_5 = assign_task_to_user(task_id=temp_2[1], user_id=loop_var)
    temp_6 = add_work_items_to_sprint(work_ids=[temp_2[0], temp_2[1]], sprint_id=temp_3)"
"Extract tasks from the text ""WeeklyGoals"", assign them to user ""USER-789"", and if any task is estimated to take more than 8 hours, mark it as high priority.","var_1 = create_actionable_tasks_from_text(text=""WeeklyGoals"")
for loop_var in var_1:
    temp_1 = estimate_work_hours(work_id=loop_var)
    temp_2 = assign_task_to_user(task_id=loop_var, user_id=""USER-789"")
    if(temp_1 > 8):
        temp_3 = mark_task_as_completed(task_id=loop_var)  "
"Find work items with type ""ticket"" and severity ""low"" created by ""UserC"", summarize them, and create a report for management review.","var_1 = search_object_by_name(query=""UserC"")
var_2 = works_list(created_by=[var_1], ticket.severity=[""low""], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
var_4 = generate_report(report_type=""management"", subject_id=var_3)"
"Retrieve all tasks assigned to user ""DevLead"" that are not completed, estimate the total hours required, and if it exceeds 40 hours, notify the project manager.",Unanswerable_query_error
"Search for the object by name ""UrgentIssue"", create a task from the description, and if the task is a ""blocker"", add it to the current sprint.","var_1 = search_object_by_name(query=""UrgentIssue"")
var_2 = create_actionable_tasks_from_text(text=var_1)
var_3 = get_sprint_id()
if(var_2==""blocker""):
    temp_1 = add_work_items_to_sprint(work_ids=[var_2], sprint_id=var_3)"
"Extract tasks from the text ""ClientMeetingSummary"", prioritize them, and assign the task with the highest priority to the current sprint.","var_1 = create_actionable_tasks_from_text(text=""ClientMeetingSummary"")
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=[var_2[0]], sprint_id=var_3)"
"For team ""BetaSquad"", find all issues with priority ""p3"" related to the team members, summarize these issues, and assign the most critical one to the team leader.","var_1 = find_team_members(team_id=""BetaSquad"")
for loop_var in var_1:
    temp_1 = works_list(owned_by=[loop_var], issue.priority=[""p3""], type=[""issue""])
    temp_2 = summarize_objects(objects=temp_1)
    temp_3 = prioritize_objects(objects=temp_1)
    temp_4 = assign_task_to_user(task_id=temp_3[0], user_id=loop_var)  "
"Retrieve all tasks for user ""QAExpert"" including completed ones, prioritize them, and create a report including a summary of the top 5 tasks.","var_1 = fetch_user_tasks(user_id=""QAExpert"", include_completed=True)
var_2 = prioritize_objects(objects=var_1)
var_3 = summarize_objects(objects=var_2[0:5])
var_4 = generate_report(report_type=""summary"", subject_id=var_3)"
"Find similar work items to ""ISSUE-101"", estimate the work hours for each, and assign them to user ""QuickFixer"".","var_1 = get_similar_work_items(work_id=""ISSUE-101"")
for loop_var in var_1:
    temp_1 = estimate_work_hours(work_id=loop_var)
    temp_2 = assign_task_to_user(task_id=loop_var, user_id=""QuickFixer"")  "
"Summarize the tasks created from the client feedback ""ClientFeedback-A"" and assign them to sprint ""SPRINT-789"" if they are of type ""issue"".","var_1 = create_actionable_tasks_from_text(text=""ClientFeedback-A"")
var_2 = works_list(type=[""issue""])
if var_1 == var_2:
    temp_1 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""SPRINT-789"")"
"Prioritize work items with severity ""high"" from the support team and add the top 10 to the sprint ""SPRINT-101"".","var_1 = works_list(ticket.severity=[""high""], type=[""issue"", ""ticket"", ""task""])
var_2 = prioritize_objects(objects=var_1)
var_3 = add_work_items_to_sprint(work_ids=var_2[0:10], sprint_id=""SPRINT-101"")"
"Generate a report for the user ""USER-999"" including a summary of their completed and ongoing tasks.","var_1 = who_am_i()
var_2 = fetch_user_tasks(user_id=""USER-999"", include_completed=True)
var_3 = generate_report(report_type=""user-tasks"", subject_id=""USER-999"")"
"Find work items related to part ""PART-321"" with priority ""p1"", summarize them, and estimate the total work hours required.","var_1 = search_object_by_name(query=""PART-321"")
var_2 = works_list(applies_to_part=[var_1], issue.priority=[""p1""], type=[""issue"", ""ticket"", ""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = estimate_work_hours(work_id=var_2[0])"
"Create tasks from the recent audit report ""AuditReport-Q1"" and assign them to the team members of ""TeamAlpha"".","var_1 = find_team_members(team_id=""TeamAlpha"")
for loop_var in var_1:
    temp_1 = create_actionable_tasks_from_text(text=""AuditReport-Q1"")
    temp_2 = assign_task_to_user(task_id=temp_1, user_id=loop_var)"
"Search for the object with the name ""ProjectOmega"" and create a detailed report for it without a summary.","var_1 = search_object_by_name(query=""ProjectOmega"")
var_2 = generate_report(report_type=""detailed"", subject_id=var_1, include_summary=False)"
"Retrieve all tickets needing a response, prioritize them, and assign the top 3 to user ""SupportAgent-1"".","for loop_var in range(0,3):
    temp_1 = works_list(ticket.needs_response=True, type=[""ticket""])
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = assign_task_to_user(task_id=temp_2[0], user_id=""SupportAgent-1"")
    temp_4 = assign_task_to_user(task_id=temp_2[1], user_id=""SupportAgent-1"")
    temp_5 = assign_task_to_user(task_id=temp_2[2], user_id=""SupportAgent-1"")"
"Summarize and prioritize all tasks assigned to ""USER-234"" that are not completed and mark the one with the highest priority as completed.","var_1 = fetch_user_tasks(user_id=""USER-234"", include_completed=False)
var_2 = prioritize_objects(objects=var_1)
var_3 = mark_task_as_completed(task_id=var_2[0])"
"Extract tasks from the engineering meeting notes ""Eng-Meeting-01"" and assign them to the users who are part of ""TeamBeta"".","var_1 = find_team_members(team_id=""TeamBeta"")
for loop_var in var_1:
    temp_1 = create_actionable_tasks_from_text(text=""Eng-Meeting-01"")
    temp_2 = assign_task_to_user(task_id=temp_1, user_id=loop_var)"
"Find similar work items to ""TASK-789"", estimate the work hours for each, and add the ones with the highest estimated hours to the sprint ""SPRINT-321"".","var_1 = get_similar_work_items(work_id=""TASK-789"")
var_2 = estimate_work_hours(work_id=var_1[0])
var_3 = prioritize_objects(objects=var_1)
var_4 = add_work_items_to_sprint(work_ids=[var_3[0]], sprint_id=""SPRINT-321"")"
"Prioritize the issues created by ""USER-567"" and add the top 5 to the current sprint if their type is ""ticket"".","var_1 = search_object_by_name(query=""USER-567"")
var_2 = works_list(created_by=[var_1], type=[""ticket""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
if var_2 == [""ticket""]:
    temp_1 = add_work_items_to_sprint(work_ids=var_3[0:5], sprint_id=var_4)"
"Create a report for part ""PART-XYZ"" and include a summary of all related tasks, issues, and tickets.","var_1 = search_object_by_name(query=""PART-XYZ"")
var_2 = works_list(applies_to_part=[var_1], type=[""issue"", ""ticket"", ""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = generate_report(report_type=""part-tasks"", subject_id=var_1)"
"Assign all tasks related to the customer ""CustomerA"" to the user who is currently logged in.","var_1 = search_object_by_name(query=""CustomerA"")
var_2 = works_list(ticket.rev_org=[var_1], type=[""task""])
for loop_var in var_2:
    temp_1 = who_am_i()
    temp_2 = assign_task_to_user(task_id=loop_var, user_id=temp_1)"
"Fetch all tasks for user ""USER-890"", prioritize them, and generate a report for the tasks with the highest priority.","var_1 = fetch_user_tasks(user_id=""USER-890"", include_completed=False)
var_2 = prioritize_objects(objects=var_1)
var_3 = generate_report(report_type=""user-tasks"", subject_id=""USER-890"")"
"Retrieve the list of tasks for ""USER-777"", summarize them, and assign the most critical task to the current sprint.","var_1 = fetch_user_tasks(user_id=""USER-777"", include_completed=False)
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=[var_2[0]], sprint_id=var_3)"
"Find work items of type ""task"" that need to be added to the sprint ""SPRINT-555"" and summarize them for the sprint planning meeting.","var_1 = works_list(type=[""task""], ticket.needs_response=True)
var_2 = summarize_objects(objects=var_1)"
"Summarize the work items owned by ""USER-111"" that are in the stage ""Testing"" and create a report to track their progress.","var_1 = search_object_by_name(query=""USER-111"")
var_2 = works_list(owned_by=[var_1], stage.name=[""Testing""], type=[""issue"", ""ticket"", ""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = generate_report(report_type=""user-progress"", subject_id=var_1)"
"Generate a list of tasks from the recent code review notes ""CodeReview-C1"" and assign them to the user with the ID ""DEV-222"".","var_1 = create_actionable_tasks_from_text(text=""CodeReview-C1"")
for loop_var in var_1:
    temp_1 = assign_task_to_user(task_id=loop_var, user_id=""DEV-222"")"
"Prioritize all tickets with source channel ""Email"" and assign the top 2 to each member of ""TeamGamma"" for immediate response.","var_1 = find_team_members(team_id=""TeamGamma"")
for loop_var in var_1:
    temp_1 = works_list(ticket.source_channel=[""Email""], type=[""ticket""])
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = assign_task_to_user(task_id=temp_2, user_id=loop_var)"
"Extract actionable tasks from the quarterly strategy document ""StrategyDoc-Q2"", create tasks for them, and assign them to the product team members.","var_1 = find_team_members(team_id=""ProductTeam"")
for loop_var in var_1:
    temp_1 = create_actionable_tasks_from_text(text=""StrategyDoc-Q2"")
    temp_2 = assign_task_to_user(task_id=temp_1, user_id=loop_var)"
"Extract actionable tasks from the text ""UpdateText"" and if the user is ""USER-789"", assign them to the current sprint. If not, assign them to sprint id ""SPRINT-999"".","var_1 = create_actionable_tasks_from_text(text=""UpdateText"")
var_2 = who_am_i()
if(var_2==""USER-789""):
    temp_1 = get_sprint_id()
    temp_2 = add_work_items_to_sprint(work_ids=var_1, sprint_id=temp_1)
else:
    temp_1 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""SPRINT-999"")"
"Find work items with type ""ticket"" and severity ""high"" created by user ""USER-321"". Summarize these items and add them to the sprint with id ""SPRINT-ABC"".","var_1 = search_object_by_name(query=""USER-321"")
var_2 = works_list(created_by=[var_1], ticket.severity=[""high""], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""SPRINT-ABC"")"
"Retrieve all tasks assigned to ""USER-XYZ"", prioritize them, and mark the top 10 as completed.","var_1 = fetch_user_tasks(user_id=""USER-XYZ"")
var_2 = prioritize_objects(objects=var_1)
for loop_var in range(0,10):
    temp_1 = mark_task_as_completed(task_id=var_2[loop_var])"
"Generate a report for object ""OBJ-123"" of type ""activity-log"" without including a summary.","var_1 = search_object_by_name(query=""OBJ-123"")
var_2 = generate_report(report_type=""activity-log"", subject_id=var_1, include_summary=False)"
"Create tasks based on the insights from the text ""CustomerFeedback"" and assign the resulting tasks to user ""SupportAgent"".","var_1 = create_actionable_tasks_from_text(text=""CustomerFeedback"")
for loop_var in var_1:
    temp_1 = assign_task_to_user(task_id=loop_var, user_id=""SupportAgent"")"
"Search for object by name ""GadgetProMax"" and estimate the work hours needed for the work item with the found ID.","var_1 = search_object_by_name(query=""GadgetProMax"")
var_2 = estimate_work_hours(work_id=var_1)"
"Prioritize all work items related to the part ""PART-789"" and assign the top 3 to the current sprint.","var_1 = search_object_by_name(query=""PART-789"")
var_2 = works_list(applies_to_part=[var_1], type=[""issue"", ""ticket"", ""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3[0:3], sprint_id=var_4)"
"Get similar work items to ""WORK-101"", create a report summarizing these items, and delete the object with the least priority.","var_1 = get_similar_work_items(work_id=""WORK-101"")
var_2 = generate_report(report_type=""summary"", subject_id=""WORK-101"")
var_3 = prioritize_objects(objects=var_1)
var_4 = delete_object_by_id(object_id=var_3[-1])"
"Identify work items with issue priority ""p1"" and ticket source channel ""email"". Prioritize them and add the first 5 to sprint ""SPRINT-XYZ"".","var_1 = works_list(issue.priority=[""p1""], ticket.source_channel=[""email""], type=[""issue"", ""ticket""])
var_2 = prioritize_objects(objects=var_1)
var_3 = add_work_items_to_sprint(work_ids=var_2[0:5], sprint_id=""SPRINT-XYZ"")"
"Summarize objects related to ""OBJ-234"", create actionable tasks from the summary, and assign them to the current sprint.","var_1 = search_object_by_name(query=""OBJ-234"")
var_2 = summarize_objects(objects=[var_1])
var_3 = create_actionable_tasks_from_text(text=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)"
"Find team members of team ""TeamAlpha"", fetch their tasks, prioritize the tasks, and assign the highest priority task of each member to sprint ""SPRINT-DEF"".","var_1 = find_team_members(team_id=""TeamAlpha"")
for loop_var in var_1:
    temp_1 = fetch_user_tasks(user_id=loop_var)
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = get_sprint_id()
    temp_4 = add_work_items_to_sprint(work_ids=[temp_2[0]], sprint_id=""SPRINT-DEF"")"
"Retrieve all tasks that need a response, summarize them, and assign the tasks to the user with ID ""USER-1122"".","var_1 = works_list(ticket.needs_response=True, type=[""task""])
var_2 = summarize_objects(objects=var_1)
for loop_var in var_1:
    temp_1 = search_object_by_name(query=""USER-1122"")
    temp_2 = assign_task_to_user(task_id=loop_var, user_id=temp_1)"
"Search for the user name ""ManagerMike"", fetch all tasks created by this user, prioritize them, and mark the bottom 5 as completed.","for loop_var in range(1,6):
    temp_1 =  search_object_by_name(query=""ManagerMike"")
    temp_2 = works_list(created_by=[temp_1], type=[""task""])
    temp_3 = prioritize_objects(objects=temp_2)
    temp_4 = mark_task_as_completed(task_id=temp_3[-loop_var])"
"Extract tasks from the document ""Doc-Ref-543"" and assign them to the sprint that has the ID returned by the search for ""SprintName"".","var_1 = create_actionable_tasks_from_text(text=""Doc-Ref-543"")
var_2 = search_object_by_name(query=""SprintName"")
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)"
"Prioritize work items owned by ""USER-777"" and add the top 10 to the sprint with the ID obtained from the search for ""NextSprint"".","var_1 = search_object_by_name(query=""USER-777"")
var_2 = works_list(owned_by=[var_1], type=[""issue"", ""ticket"", ""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = search_object_by_name(query=""NextSprint"")
var_5 = add_work_items_to_sprint(work_ids=var_3[0:10], sprint_id=var_4)"
"Create a report of type ""workload"" for user ""USER-888"", including a summary, and estimate the hours for each task in the report.","var_1 = search_object_by_name(query=""USER-888"")
var_2 = generate_report(report_type=""workload"", subject_id=var_1)
for loop_var in var_2:
    temp_1 = estimate_work_hours(work_id=loop_var)"
"Assign all tasks extracted from the text ""ReleaseNotes"" to the user who is currently logged in as identified by ""who_am_i"".","var_1 = create_actionable_tasks_from_text(text=""ReleaseNotes"")
for loop_var in var_1:
    temp_1 = who_am_i()
    temp_2 = assign_task_to_user(task_id=loop_var, user_id=temp_1)"
"Summarize and prioritize all tickets with severity ""blocker"", and assign the top 5 to the user found by searching ""LeadDeveloper"".","var_1 = works_list(ticket.severity=[""blocker""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
var_4 = search_object_by_name(query=""LeadDeveloper"")
var_5 = add_work_items_to_sprint(work_ids=var_3[0:5], sprint_id=var_4)"
"For team ""TeamBeta"", get the member IDs, find all issues with priority ""p0"" for these members, summarize the issues, and add the top prioritized issue of each member to the current sprint.","var_1 = find_team_members(team_id=""TeamBeta"")
for loop_var in var_1:
    temp_1 = works_list(owned_by=[loop_var], issue.priority=[""p0""], type=[""issue""])
    temp_2 = summarize_objects(objects=temp_1)
    temp_3 = prioritize_objects(objects=temp_1)
    temp_4 = get_sprint_id()
    temp_5 = add_work_items_to_sprint(work_ids=[temp_3[0]], sprint_id=temp_4)"
"Create tasks from the customer feedback ""FeedbackText"", assign them to the current sprint, and generate a report including a summary for each task.","var_1 = create_actionable_tasks_from_text(text=""FeedbackText"")
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
for loop_var in var_1:
    temp_1 = summarize_objects(objects=[loop_var])
    temp_2 = generate_report(report_type=""task"", subject_id=loop_var, include_summary=True)"
"Retrieve all tasks created by ""ManagerID"", prioritize them, and assign the top 10 tasks to user ""LeadDev"".","var_1 = search_object_by_name(query=""ManagerID"")
var_2 = works_list(created_by=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
for loop_var in range(0,10):
    temp_1 = assign_task_to_user(task_id=var_3[loop_var], user_id=""LeadDev"")"
"Summarize all work items with type ""issue"" and severity ""high"", estimate the work hours for each, and assign them to the current sprint.","var_1 = works_list(ticket.severity=[""high""], type=[""issue""])
var_2 = summarize_objects(objects=var_1)
for loop_var in var_1:
    temp_1 = get_sprint_id()
    temp_2 = estimate_work_hours(work_id=loop_var)
    temp_3 = add_work_items_to_sprint(work_ids=[loop_var], sprint_id=temp_1)"
"Find all tasks associated with part ""PART-789"", summarize them, and create a report for each task with the type ""QualityCheck"".","var_1 = search_object_by_name(query=""PART-789"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
for loop_var in var_2:
    temp_1 = generate_report(report_type=""QualityCheck"", subject_id=loop_var, include_summary=False)"
"Search for object by name ""CriticalComponent"", find all related work items, and assign them to the sprint with ID ""SPRINT-789"".","var_1 = search_object_by_name(query=""CriticalComponent"")
var_2 = works_list(ticket.rev_org=[var_1])
var_3 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""SPRINT-789"")"
"For user ""DesignerID"", fetch all uncompleted tasks, summarize them, and mark the task with the highest priority as completed.","var_1 = fetch_user_tasks(user_id=""DesignerID"", include_completed=False)
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
var_4 = mark_task_as_completed(task_id=var_3[0])"
"Generate a list of tasks from the document ""SpecDoc"", assign them to the team members of team ""DesignTeam"", and estimate the work hours for each task.","var_1 = create_actionable_tasks_from_text(text=""SpecDoc"")
var_2 = find_team_members(team_id=""DesignTeam"")
for loop_var in var_2:
    temp_1 = assign_task_to_user(task_id=var_1, user_id=loop_var)
    temp_2 = estimate_work_hours(work_id=var_1)"
"Find all tickets with source channel ""Email"", prioritize them, and add the top 3 to the sprint with ID ""SPRINT-321"".","var_1 = works_list(ticket.source_channel=[""Email""], type=[""ticket""])
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2[0:3], sprint_id=""SPRINT-321"")"
